Logsheet type,Parameter,Linked term (URL),Unit,Unit (URL),Data type,Data property,Metadata_Category,Requirement,,
both,chlorophyll,https://vocab.lternet.edu/vocab/vocab/xml.php?jsonTema=103,ug/l,http://vocab.nerc.ac.uk/collection/P06/current/UGPL,xsd:double,dwc:measurementValue,Measured,Mandatory (M),,
both,chlorophyll_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Mandatory (M),,
water,conduc,http://vocab.nerc.ac.uk/collection/P02/current/CNDC/,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSCM/,xsd:double,dwc:measurementValue,Measured,Optional (O),,
water,conduc_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Optional (O),,
water,density,http://vocab.nerc.ac.uk/collection/P21/current/MS11334/,g/m3,http://vocab.nerc.ac.uk/collection/P06/current/UGMC/,xsd:double,dwc:measurementValue,Measured,Optional (O),,
water,density_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Optional (O),,
both,ph,https://vocab.lternet.edu/vocab/vocab/xml.php?jsonTema=410,unitless,NA,xsd:double,dwc:measurementValue,Measured,Optional (O),,
both,ph_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Optional (O),,
both,pressure,https://vocab.lternet.edu/vocab/vocab/xml.php?jsonTema=446,atm,NA,xsd:double,dwc:measurementValue,Measured,Optional (O),,
both,pressure_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Optional (O),,
water,sea_subsurf_salinity,http://vocab.nerc.ac.uk/collection/P02/current/PSAL/,unitless,NA,xsd:double,dwc:measurementValue,Measured,Mandatory (M),,
water,sea_subsurf_salinity_method,,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Mandatory (M),,
water,sea_subsurf_temp,https://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/,degC,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,xsd:double,dwc:measurementValue,Measured,Mandatory (M),,
water,sea_subsurf_temp_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Mandatory (M),,
both,sea_surf_salinity,http://vocab.nerc.ac.uk/collection/P02/current/PSAL/,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,xsd:double,dwc:measurementValue,Measured,Mandatory (M),,
both,sea_surf_salinity_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Mandatory (M),,
both,sea_surf_temp,https://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/,degC,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,xsd:double,dwc:measurementValue,Measured,Mandatory (M),,
both,sea_surf_temp_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Mandatory (M),,
sediment,sediment_temp,https://vocab.lternet.edu/vocab/vocab/xml.php?jsonTema=530,degC,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,xsd:double,dwc:measurementValue,Measured,Mandatory (M),,
sediment,sediment_temp_method,NA,NA,NA,xsd:string,dwc:measurementRemarks,Measured,Mandatory (M),,
both,contact_email,NA,NA,NA,xsd:string,schema:email,Observatory,Mandatory (M),,
both,contact_name,NA,NA,NA,xsd:string,schema:name,Observatory,Mandatory (M),,
both,contact_orchid,NA,NA,NA,xsd:anyURI,schema:identifier,Observatory,Optional (O),,
both,dist_shore,NA,mi,http://vocab.nerc.ac.uk/collection/P06/current/NTML/,xsd:double,dwc:measurementValue,Observatory,Mandatory (M),,
both,geo_loc_name,NA,NA,NA,xsd:string,schema:location,Observatory,Mandatory (M),, 
both,latitude,NA,degC,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,xsd:decimal,dwc:measurementValue,Observatory,Mandatory (M),,
both,loc_broad_ocean,NA,NA,NA,xsd:string,dwc:waterBody,Observatory,Mandatory (M),,
both,loc_loc,NA,NA,NA,xsd:string,dwc:waterBody,Observatory,Mandatory (M),,
both,loc_regional,NA,NA,NA,xsd:string,dwc:waterBody,Observatory,Mandatory (M),,
both,longitude,NA,degC,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,xsd:decimal,dwc:measurementValue,Observatory,Mandatory (M),,
both,obs_id,NA,NA,NA,xsd:string,dwc:locationID,Observatory,Mandatory (M),,
both,organization,NA,NA,NA,xsd:string,schema:Organization,Observatory,Mandatory (M),,
